Personality Trait,Confusion Matrix Train,Confusion Matrix Test,Precision Train,Recall Train,F1 Score Train,Sensitivity Train,FPR Train,TPR Train,AUC Train,Accuracy Rate Train,Precision Test,Recall Test,F1 Score Test,Sensitivity Test,FPR Test,TPR Test,AUC Test,Accuracy Rate Test
enfj,"[[6373   45]
 [ 165  468]]","[[710   9]
 [ 15  49]]",91.22807017543859,73.93364928909952,81.67539267015707,73.93364928909952,0.7011530071673419,73.93364928909952,86.6162481409661,97.02169904978018,84.48275862068965,76.5625,80.327868852459,76.5625,1.2517385257301807,76.5625,87.6553807371349,96.93486590038314
enfp,"[[6162  119]
 [ 183  587]]","[[684  15]
 [ 22  62]]",83.14447592067988,76.23376623376623,79.53929539295392,76.23376623376623,1.894602770259513,76.23376623376623,87.16958173175335,95.71691958587435,80.51948051948052,73.80952380952381,77.01863354037268,73.80952380952381,2.1459227467811157,73.80952380952381,85.83180053137134,95.27458492975734
entj,"[[6243  242]
 [ 119  447]]","[[672  26]
 [ 17  68]]",64.87663280116111,78.97526501766784,71.23505976095618,78.97526501766784,3.7316885119506553,78.97526501766784,87.6217882528586,94.88015884271735,72.3404255319149,80.0,75.97765363128491,80.0,3.7249283667621778,80.0,88.13753581661891,94.50830140485313
entp,"[[6483   66]
 [ 124  378]]","[[727   7]
 [  9  40]]",85.13513513513513,75.2988047808765,79.9154334038055,75.2988047808765,1.0077874484654146,75.2988047808765,87.14550866620554,97.30534675932492,85.1063829787234,81.63265306122449,83.33333333333334,81.63265306122449,0.9536784741144414,81.63265306122449,90.33948729355504,97.9565772669221
esfj,"[[6828   31]
 [  43  149]]","[[750   3]
 [ 13  17]]",82.77777777777777,77.60416666666666,80.10752688172043,77.60416666666666,0.4519609272488701,77.60416666666666,88.57610286970889,98.95050347468444,85.0,56.666666666666664,68.0,56.666666666666664,0.398406374501992,56.666666666666664,78.13413014608234,97.9565772669221
esfp,"[[6874    5]
 [  26  146]]","[[762   2]
 [  6  13]]",96.68874172185431,84.88372093023256,90.40247678018576,84.88372093023256,0.07268498328245385,84.88372093023256,92.40551797347504,99.56034605020564,86.66666666666667,68.42105263157895,76.47058823529413,68.42105263157895,0.2617801047120419,68.42105263157895,84.07963626343346,98.97828863346105
estj,"[[6811   45]
 [  49  146]]","[[762   4]
 [  3  14]]",76.43979057591623,74.87179487179488,75.64766839378238,74.87179487179488,0.6563593932322054,74.87179487179488,87.10771773928133,98.6668557651397,77.77777777777779,82.35294117647058,80.0,82.35294117647058,0.5221932114882507,82.35294117647058,90.91537398249116,99.10600255427842
estp,"[[6941    2]
 [  27   81]]","[[760   1]
 [  2  20]]",97.59036144578313,75.0,84.81675392670157,75.0,0.02880599164626242,75.0,87.48559700417687,99.58871082116012,95.23809523809523,90.9090909090909,93.02325581395348,90.9090909090909,0.1314060446780552,90.9090909090909,95.38884243220643,99.61685823754789
infj,"[[5903  354]
 [ 137  657]]","[[677  30]
 [ 19  57]]",64.98516320474778,82.7455919395466,72.797783933518,82.7455919395466,5.657663416972991,82.7455919395466,88.54396426128682,93.0364487306765,65.51724137931035,75.0,69.93865030674846,75.0,4.243281471004243,75.0,85.37835926449787,93.74201787994892
infp,"[[6264   55]
 [ 176  556]]","[[692   4]
 [ 24  63]]",90.99836333878886,75.95628415300546,82.79970215934475,75.95628415300546,0.8703908846336446,75.95628415300546,87.54294663418591,96.72386895475819,94.02985074626866,72.41379310344827,81.81818181818181,72.41379310344827,0.5747126436781609,72.41379310344827,85.91954022988504,96.42401021711366
intj,"[[6004  261]
 [ 166  620]]","[[668  42]
 [ 12  61]]",70.37457434733257,78.88040712468194,74.38512297540493,78.88040712468194,4.166001596169194,78.88040712468194,87.35720276425639,93.94412140121969,59.22330097087378,83.56164383561644,69.31818181818181,83.56164383561644,5.915492957746479,83.56164383561644,88.82307543893498,93.10344827586206
intp,"[[6431   32]
 [ 146  442]]","[[709   5]
 [ 19  50]]",93.24894514767934,75.17006802721087,83.2391713747646,75.17006802721087,0.4951261024292124,75.17006802721087,87.33747096239084,97.47553538505177,90.9090909090909,72.46376811594203,80.64516129032259,72.46376811594203,0.700280112044818,72.46376811594203,85.88174400194862,96.93486590038314
isfj,"[[6665   29]
 [  78  279]]","[[739   2]
 [ 12  30]]",90.5844155844156,78.15126050420169,83.90977443609023,78.15126050420169,0.4332237824917837,78.15126050420169,88.85901836085493,98.48248475393562,93.75,71.42857142857143,81.08108108108108,71.42857142857143,0.2699055330634278,71.42857142857143,85.57933294775401,98.21200510855684
isfp,"[[6859    7]
 [  44  141]]","[[761   1]
 [  8  13]]",95.27027027027027,76.21621621621621,84.68468468468467,76.21621621621621,0.10195164579085349,76.21621621621621,88.05713228521267,99.2766983406609,92.85714285714286,61.904761904761905,74.2857142857143,61.904761904761905,0.13123359580052493,61.904761904761905,80.8867641544807,98.85057471264368
istj,"[[6723   23]
 [  89  216]]","[[758   1]
 [  4  20]]",90.3765690376569,70.81967213114754,79.41176470588235,70.81967213114754,0.3409427809072043,70.81967213114754,85.23936467512017,98.41157282654942,95.23809523809523,83.33333333333334,88.8888888888889,83.33333333333334,0.13175230566534915,83.33333333333334,91.600790513834,99.36143039591315
istp,"[[6881    4]
 [  39  127]]","[[762   0]
 [  4  17]]",96.94656488549617,76.50602409638554,85.52188552188552,76.50602409638554,0.05809731299927379,76.50602409638554,88.22396339169313,99.3901574244788,100.0,80.95238095238095,89.47368421052632,80.95238095238095,0.0,80.95238095238095,90.47619047619048,99.48914431673053
